id,tyc,gaia,hyg,hip,hd,hr,gl,bayer,constellation,proper,ra,dec,dist_ly,x0,y0,z0,dist_src,mag,absmag,spect,ci,
719018,2452-2167-1,,36263,36366,58946,2852,Gl 274A,Rho,Gem,,7.48519925,31.78453362,58.8702926,-5.816,14.196,9.506,HIP,4.16,2.878,F0V,0.32,
1349846,898-1042-1,3740176925743994752,65515,65721,117176,5072,Gl 512.1,,Vir,,13.47383621,13.77878712,59.0395904,-16.286,-6.616,4.311,G_R3,4.97,3.682,G5IV-V,0.714,
2347653,1133-1258-1,1772187382746856320,107007,107350,206860,8314,Gl 836.7,,Peg,,21.74203623,14.7719391,59.149846,14.558,-9.772,4.623,G_R3,5.96,4.668,G0V,0.587,
1187395,267-1191-1,3812355328621651328,55679,55846,99491,4414,Gl 429A,,Leo,,11.44592254,3.01310275,59.2992456,-17.963,2.624,0.956,G_R3,6.49,5.192,G6/8 III/IV,0.778,
1466151,2016-334-1,1265976524286377856,72341,72567,130948,5534,Gl 564,,Boo,,14.83772525,23.91183812,59.3628546,-12.253,-11.253,7.376,G_R3,5.86,4.56,G 2 V,0.576,
588260,4534-1837-1,1141280704422528128,32353,32439,46588,2401,Gl 240.1,,Cam,,6.77059784,79.56481005,59.3762288,-0.661,3.23,17.901,G_R3,5.44,4.139,F 8 V,0.525,
858583,1936-1174-1,683184784030475520,40728,40843,69897,3262,Gl 303,Chi,Cnc,,8.33440576,27.21770692,59.444404599999991,-9.299,13.272,8.335,G_R3,5.13,3.827,F6V,0.487,
1330787,8661-2282-1,6062166950467100032,64378,64583,114837,4989,Gl 503A,,Cen,,13.237578,-59.103235,59.498879999999993,-8.879,-2.982,-15.652,G_R3,4.9,3.595,F7IV,0.489,
1676789,3501-1373-1,1359938520253565952,83134,83389,154345,,Gl 651,,Her,,17.04344501,47.08188418,59.595109,-3.083,-12.053,13.379,G_R3,6.76,5.451,G8V,0.728,
1456034,4997-942-1,,71731,71957,129502,5487,GJ 9491,Mu,Vir,,14.717673,-5.658207,59.601633,-13.771,-11.872,-1.801,HIP,3.87,2.561,F2III,0.385,
1680177,6823-1187-1,6029992663310612096,83284,83541,154088,,Gl 652,,Oph,,17.07440068,-28.58267775,59.6061998,-3.85,-15.577,-8.742,G_R3,6.59,5.281,K1 V,0.814,
1276555,6103-2394-1,,60983,61174,109085,4775,Gl 471.2,Eta,Crv,,12.53450741,-16.19600226,59.634253,-17.384,-2.449,-5.099,HIP,4.3,2.99,F2 V,0.388,
429085,9386-2614-1,4623036865373793408,26330,26394,39091,2022,GJ 9189,Pi,Men,,5.61916,-80.469122,59.653498800000008,0.301,3.012,-18.035,G_R3,5.65,4.339,G3IV,0.6,
786226,7127-2092-2,5593584059914156800,38313,38423,64379,3079,Gl 292A,,Pup,,7.87101846,-34.70544353,59.7839788,-7.089,13.295,-10.435,G_R3,5.01,3.694,F3/5 V,0.47,
629176,8908-1355-1,5479222240596469632,33603,33690,53143,,Gl 260,,Car,,6.99990442,-61.33617772,59.825406199999996,-2.277,8.498,-16.093,G_R3,6.81,5.493,K1 V,0.786,
2047935,3564-3157-1,2135110401277424384,96138,96441,185395,7469,Gl 765A,The,Cyg,,19.60737039,50.22109911,60.106590600000004,4.816,-10.761,14.161,G_R3,4.49,3.163,F4V,0.395,
310872,8508-2041-1,4678664766393829504,19871,19921,27442,1355,Gl 167.3,Eps,Ret,,4.27473009,-59.30215392,60.1525848,4.109,8.47,-15.856,G_R3,4.44,3.111,K1/2 III,1.078,
585396,754-2356-1,3352485999058854912,32276,32362,48737,2484,Gl 242,Xi,Gem,Alzirr,6.7548235,12.89558957,60.196295600000006,-3.532,17.638,4.118,G_R3,3.35,2.02,F3IV,0.443,
2392436,7492-1465-1,6612242034982766848,109076,109422,210302,8447,Gl 849.1,Tau,PsA,,22.16910556,-32.54840635,60.209669799999993,13.805,-7.175,-9.931,G_R3,4.94,3.609,F6 V,0.489,
2291283,1109-2583-1,,104520,104858,202275,8123,Gl 822A,Del,Equ,,21.24133717,10.0069808,60.3068774,13.661,-12.035,3.213,HIP,4.47,3.136,F7V,0.529,
691766,1359-2672-1,,35453,35550,56986,2777,Gl 271A,Del,Gem,Wasat,7.335383,21.98232,60.474544200000004,-5.888,16.151,6.94,HIP,3.5,2.16,F0IV...,0.374,
